"id", "name", "type", "number"
39191307,"Masked Dragon",Effect Monster,1
10189126,"Masked Sorcerer",Effect Monster,1
22609617,"Mataza the Zapper",Effect Monster,1
2694423,"Medusa Worm",Effect Monster,1
46820049,"Mefist the Infernal General",Effect Monster,1
22046459,"Megamorph",Spell Card,1
44656491,"Messenger of Peace",Spell Card,1
68540059,"Metalmorph",Trap Card,1
46411259,"Metamorphosis",Spell Card,1
33767325,"Meteor of Destruction",Spell Card,1
37580756,"Michizure",Trap Card,1
18190572,"Micro Ray",Trap Card,1
7489323,"Milus Radiant",Effect Monster,1
37520316,"Mind Control",Spell Card,1
15800838,"Mind Crush",Trap Card,1
1918087,"Minor Goblin Official",Trap Card,1
15960641,"Mirage Dragon",Effect Monster,1
41482598,"Mirage of Nightmare",Spell Card,1
44095762,"Mirror Force",Trap Card,1
22359980,"Mirror Wall",Trap Card,1
4929256,"Mobius the Frost Monarch",Effect Monster,1
75285069,"Moisture Creature",Effect Monster,1
19384334,"Molten Destruction",Spell Card,1
4732017,"Molten Zombie",Effect Monster,1
43040603,"Monster Gate",Spell Card,1
83764719,"Monster Reborn",Spell Card,1
74848038,"Monster Reincarnation",Spell Card,1
33508719,"Morphing Jar",Flip Effect Monster,1
79106360,"Morphing Jar #2",Flip Effect Monster,1
57839750,"Mother Grizzly",Effect Monster,1
46657337,"Muka Muka",Effect Monster,1
69279219,"My Body as a Shield",Spell Card,1
1347977,"Mysterious Guard",Flip Effect Monster,1
18161786,"Mystic Plasma Zone",Spell Card,1
47507260,"Mystic Swordsman LV2",Effect Monster,1
74591968,"Mystic Swordsman LV4",Effect Monster,1
83011278,"Mystic Tomato",Effect Monster,1
98745000,"Mystical Knight of Jackal",Effect Monster,1
5318639,"Mystical Space Typhoon",Spell Card,1
80161395,"Mystik Wok",Spell Card,1
47355498,"Necrovalley",Spell Card,1
98162242,"Needle Burrower",Effect Monster,1
38411870,"Needle Ceiling",Trap Card,1
38299233,"Needle Wall",Trap Card,1
14315573,"Negate Attack",Trap Card,1
4335645,"Newdoria",Effect Monster,1
16226786,"Night Assailant",Flip Effect Monster,1
59290628,"Nightmare Horse",Effect Monster,1
81306586,"Nightmare Penguin",Effect Monster,1
54704216,"Nightmare Wheel",Trap Card,1
4041838,"Ninja Grandmaster Sasuke",Effect Monster,1
71044499,"Nobleman of Crossout",Spell Card,1
17449108,"Nobleman of Extermination",Spell Card,1
65878864,"Nobleman-Eater Bug",Flip Effect Monster,1
19230408,"Offerings to the Doomed",Spell Card,1
29843091,"Ojama Trio",Trap Card,1
45141844,"Old Vindictive Magician",Flip Effect Monster,1
39537362,"Ordeal of a Traveler",Trap Card,1
74191942,"Painful Choice",Spell Card,1
73398797,"Paladin of White Dragon",Ritual Effect Monster,1
50152549,"Paralyzing Potion",Spell Card,1
63356631,"Phoenix Wing Wind Blast",Trap Card,1
74270067,"Pikeru's Circle of Enchantment",Trap Card,1
90669991,"Pineapple Blast",Trap Card,1
88975532,"Pitch-Black Warwolf",Effect Monster,1
35429292,"Pixie Knight",Effect Monster,1
8842266,"Poison of the Old Man",Spell Card,1
73578229,"Pole Position",Trap Card,1
52860176,"Possessed Dark Soul",Effect Monster,1
55144522,"Pot of Greed",Spell Card,1
70828912,"Premature Burial",Spell Card,1
91559748,"Prickle Fairy",Effect Monster,1
51371017,"Princess of Tsurugi",Flip Effect Monster,1
76754619,"Pyramid Energy",Spell Card,1
77044671,"Pyramid Turtle",Effect Monster,1
31440542,"Rafflesia Seduction",Flip Effect Monster,1
90810762,"Raging Flame Sprite",Effect Monster,1
12580477,"Raigeki",Spell Card,1
4178474,"Raigeki Break",Trap Card,1
21347810,"Rainbow Flower",Effect Monster,1
31785398,"Ready for Intercepting",Trap Card,1
33066139,"Reaper of the Cards",Flip Effect Monster,1
58577036,"Reasoning",Spell Card,1
37576645,"Reckless Greed",Trap Card,1
2851070,"Reflect Bounder",Effect Monster,1
70821187,"Regenerating Mummy",Effect Monster,1
32807846,"Reinforcement of the Army",Spell Card,1
17814387,"Reinforcements",Trap Card,1
64631466,"Relinquished",Ritual Effect Monster,1
22589918,"Reload",Spell Card,1
51482758,"Remove Trap",Spell Card,1
14878872,"Rescue Cat",Effect Monster,1
27174286,"Return from the Different Dimension",Trap Card,1
31709826,"Revival Jam",Effect Monster,1
83555666,"Ring of Destruction",Trap Card,1
34016756,"Riryoku",Spell Card,1
70344351,"Riryoku Field",Trap Card,1
45778932,"Rising Air Current",Spell Card,1
30450531,"Rite of Spirit",Trap Card,1
90846359,"Rivalry of Warlords",Trap Card,1
88279736,"Robbin' Goblin",Trap Card,1
93382620,"Rope of Life",Trap Card,1
46303688,"Roulette Barrel",Effect Monster,1
51452091,"Royal Decree",Trap Card,1
16509093,"Royal Keeper",Effect Monster,1
70791313,"Royal Magical Library",Effect Monster,1
93016201,"Royal Oppression",Trap Card,1
56058888,"Royal Surrender",Trap Card,1
72405967,"Royal Tribute",Spell Card,1
70046172,"Rush Recklessly",Spell Card,1
42647539,"Ryu-Kishin Clown",Effect Monster,1
30914564,"Sacred Crane",Effect Monster,1
61441708,"Sacred Phoenix of Nephthys",Effect Monster,1
56120475,"Sakuretsu Armor",Trap Card,1
26202165,"Sangan",Effect Monster,1
16222645,"Sasuke Samurai",Effect Monster,1
64538655,"Sasuke Samurai #4",Effect Monster,1
73915051,"Scapegoat",Spell Card,1
42071342,"Sea Serpent Warrior of Darkness",Normal Monster,1
27053506,"Secret Barrel",Trap Card,1
23401840,"Senju of the Thousand Hands",Effect Monster,1
71829750,"Serpentine Princess",Effect Monster,1
2792265,"Servant of Catabolism",Effect Monster,1
3819470,"Seven Tools of the Bandit",Trap Card,1
9603356,"Shadowknight Archfiend",Effect Monster,1
56830749,"Share the Pain",Spell Card,1
52097679,"Shield & Sword",Spell Card,1
60365591,"Shinato's Ark",Spell Card,1
86327225,"Shinato, King of a Higher Plane",Ritual Effect Monster,1
95956346,"Shining Angel",Effect Monster,1
95638658,"Shooting Star Bow - Ceal",Spell Card,1
1995985,"Silent Swordsman LV3",Effect Monster,1
74388798,"Silent Swordsman LV5",Effect Monster,1
73001017,"Silpheed",Effect Monster,1
8131171,"Sinister Serpent",Effect Monster,1
82732705,"Skill Drain",Trap Card,1
73752131,"Skilled Dark Magician",Effect Monster,1
46363422,"Skilled White Magician",Effect Monster,1
61370518,"Skull Archfiend of Lightning",Effect Monster,1
126218,"Skull Dice",Trap Card,1
6733059,"Skull Lair",Trap Card,1
5265750,"Skull Mariner",Normal Monster,1
78636495,"Slate Warrior",Flip Effect Monster,1
97169186,"Smashing Ground",Spell Card,1
45986603,"Snatch Steal",Spell Card,1
45985838,"Solar Flare Dragon",Effect Monster,1
41420027,"Solemn Judgment",Trap Card,1
35346968,"Solemn Wishes",Trap Card,1
57617178,"Sonic Bird",Effect Monster,1
84696266,"Sonic Duck",Normal Monster,1
68005187,"Soul Exchange",Spell Card,1
